City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (Last 3 hrs),Snow Inches (Last 3 hrs)
0,Yellowknife,CA,2019-11-08 19:33:40,62.45,-114.38,12.2,78,40,11.41,Scattered clouds,0.0,0.0
1,Ushuaia,AR,2019-11-08 19:27:03,-54.81,-68.31,42.8,91,75,29.97,Shower rain,0.0,0.0
2,Leshukonskoye,RU,2019-11-08 19:33:41,64.9,45.76,15.87,87,100,5.93,Overcast clouds,0.0,0.0
3,Tilichiki,RU,2019-11-08 19:33:41,60.47,166.1,18.09,77,100,10.58,Overcast clouds,0.0,0.0
4,Longyearbyen,NO,2019-11-08 19:33:42,78.22,15.63,30.2,58,75,28.86,Broken clouds,0.0,0.0
5,Saint-Philippe,CA,2019-11-08 19:33:42,45.36,-73.48,33.01,63,75,16.11,Light shower snow,0.0,0.0
6,Kodiak,US,2019-11-08 19:33:42,39.95,-94.76,44.01,33,1,10.29,Clear sky,0.0,0.0
7,Hermanus,ZA,2019-11-08 19:33:43,-34.42,19.24,66.99,76,100,13.0,Overcast clouds,0.0,0.0
8,Maldonado,UY,2019-11-08 19:33:26,-34.91,-54.96,69.8,60,66,12.75,Broken clouds,0.0,0.0
9,Sabang,PH,2019-11-08 19:33:43,13.8,121.11,81.0,90,91,3.0,Light rain,0.31,0.0
10,Cape Town,ZA,2019-11-08 19:31:14,-33.93,18.42,66.99,59,100,12.75,Overcast clouds,0.0,0.0
11,Plyussa,RU,2019-11-08 19:33:43,58.42,29.37,32.22,95,28,3.62,Scattered clouds,0.0,0.0
12,Jefferson City,US,2019-11-08 19:28:49,38.58,-92.17,42.01,31,1,5.82,Clear sky,0.0,0.0
13,Port Elizabeth,US,2019-11-08 19:33:44,39.31,-74.98,45.0,28,1,12.75,Clear sky,0.0,0.0
14,Horasan,TR,2019-11-08 19:33:44,40.04,42.16,38.59,39,0,2.48,Clear sky,0.0,0.0
15,Geraldton,CA,2019-11-08 19:33:45,49.72,-86.95,17.6,52,75,11.41,Broken clouds,0.0,0.0
16,Rikitea,PF,2019-11-08 19:31:31,-23.12,-134.97,73.47,77,100,8.52,Overcast clouds,0.0,0.0
17,Albany,US,2019-11-08 19:29:18,42.65,-73.75,35.01,43,40,18.34,Shower rain,0.0,0.0
18,Bluff,AU,2019-11-08 19:33:45,-23.58,149.07,75.06,27,0,11.48,Clear sky,0.0,0.0
19,Chokurdakh,RU,2019-11-08 19:33:46,70.62,147.9,-9.66,98,100,4.34,Overcast clouds,0.0,0.0
20,Marrakesh,MA,2019-11-08 19:33:47,31.63,-7.99,64.4,39,20,8.05,Few clouds,0.0,0.0
21,Torbay,CA,2019-11-08 19:33:47,47.66,-52.73,48.2,93,90,26.4,Overcast clouds,0.0,0.0
22,Atuona,PF,2019-11-08 19:33:47,-9.8,-139.03,80.17,78,7,15.55,Clear sky,0.0,0.0
23,Busselton,AU,2019-11-08 19:31:29,-33.64,115.35,63.0,39,0,13.02,Clear sky,0.0,0.0
24,Kahului,US,2019-11-08 19:31:22,20.89,-156.47,80.6,74,20,4.7,Few clouds,0.0,0.0
25,Manokwari,ID,2019-11-08 19:33:48,-0.87,134.08,75.31,71,100,4.41,Overcast clouds,0.0,0.0
26,Comodoro Rivadavia,AR,2019-11-08 19:33:48,-45.87,-67.48,57.2,28,40,20.8,Scattered clouds,0.0,0.0
27,Thompson,CA,2019-11-08 19:33:48,55.74,-97.86,14.0,72,90,5.73,Overcast clouds,0.0,0.0
28,Bonthe,SL,2019-11-08 19:33:48,7.53,-12.5,80.2,84,39,4.63,Scattered clouds,0.0,0.0
29,Cabo San Lucas,MX,2019-11-08 19:33:35,22.89,-109.91,93.99,51,20,6.93,Few clouds,0.0,0.0
30,Rio Tuba,PH,2019-11-08 19:33:49,8.51,117.43,81.0,78,100,16.28,Overcast clouds,0.0,0.0
31,Faanui,PF,2019-11-08 19:33:49,-16.48,-151.75,81.14,77,96,20.24,Light rain,0.13,0.0
32,Chuy,UY,2019-11-08 19:33:50,-33.69,-53.46,65.37,75,0,10.83,Clear sky,0.0,0.0
33,Punta Arenas,CL,2019-11-08 19:31:31,-53.16,-70.91,46.4,52,40,26.4,Scattered clouds,0.0,0.0
34,Carnarvon,ZA,2019-11-08 19:33:50,-30.97,22.13,62.15,33,5,21.09,Clear sky,0.0,0.0
35,Kathu,ZA,2019-11-08 19:33:50,-27.7,23.05,73.0,13,96,9.57,Overcast clouds,0.0,0.0
36,Kaitangata,NZ,2019-11-08 19:33:51,-46.28,169.85,59.0,89,50,3.0,Scattered clouds,0.0,0.0
37,Vaini,IN,2019-11-08 19:33:51,15.34,74.49,65.59,95,3,0.83,Clear sky,0.0,0.0
38,Butaritari,KI,2019-11-08 19:33:51,3.07,172.79,84.74,64,100,7.09,Overcast clouds,0.0,0.0
39,Isangel,VU,2019-11-08 19:33:51,-19.55,169.27,68.0,94,20,7.56,Few clouds,0.0,0.0
40,Beira,ES,2019-11-08 19:33:52,43.2,-8.36,54.0,71,40,6.93,Scattered clouds,0.0,0.0
41,Maningrida,AU,2019-11-08 19:33:52,-12.05,134.23,79.36,75,81,2.98,Broken clouds,0.0,0.0
42,Yeniseysk,RU,2019-11-08 19:33:52,58.45,92.17,28.18,93,100,8.68,Light snow,0.0,0.94
43,Valparaiso,US,2019-11-08 19:33:52,41.47,-87.06,35.6,35,90,5.82,Overcast clouds,0.0,0.0
44,Wiarton,CA,2019-11-08 19:33:53,44.74,-81.13,33.01,74,75,4.7,Light snow,0.0,0.0
45,Sadove,UA,2019-11-08 19:33:53,46.25,30.18,59.0,100,90,8.95,Fog,0.0,0.0
