City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Hermanus,ZA,66.99,Overcast clouds,-34.42,19.24,Misty Waves Boutique Hotel
8,Maldonado,UY,69.8,Broken clouds,-34.91,-54.96,Joan Miro Hotel
10,Cape Town,ZA,66.99,Overcast clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
16,Rikitea,PF,73.47,Overcast clouds,-23.12,-134.97,Pension Maro'i
18,Bluff,AU,75.06,Clear sky,-23.58,149.07,Bluff Hotel
20,Marrakesh,MA,64.4,Few clouds,31.63,-7.99,Les Jardins de La Koutoubia
22,Atuona,PF,80.17,Clear sky,-9.8,-139.03,Villa Enata
23,Busselton,AU,63.0,Clear sky,-33.64,115.35,Observatory Guest House
24,Kahului,US,80.6,Few clouds,20.89,-156.47,Maui Seaside Hotel
25,Manokwari,ID,75.31,Overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
28,Bonthe,SL,80.2,Scattered clouds,7.53,-12.5,Bonthe Holiday Village
30,Rio Tuba,PH,81.0,Overcast clouds,8.51,117.43,Triple J Lodging House
32,Chuy,UY,65.37,Clear sky,-33.69,-53.46,Nuevo Hotel Plaza
34,Carnarvon,ZA,62.15,Clear sky,-30.97,22.13,Meerkat Manor
35,Kathu,ZA,73.0,Overcast clouds,-27.7,23.05,Carlandre
37,Vaini,IN,65.59,Clear sky,15.34,74.49,Dandeli Lake County
38,Butaritari,KI,84.74,Overcast clouds,3.07,172.79,Isles Sunset Lodge
39,Isangel,VU,68.0,Few clouds,-19.55,169.27,Volcano Sea View Tree House
41,Maningrida,AU,79.36,Broken clouds,-12.05,134.23,"Batchelor Institute Vocational Occupancy Quarters, (VOQ)"
46,Plettenberg Bay,ZA,60.24,Scattered clouds,-34.05,23.37,Thanda Vista B&B
47,Barrow,AR,69.87,Overcast clouds,-38.31,-60.23,
53,Faya,SA,64.4,Scattered clouds,18.39,42.45,مقبرة ال مجمل
54,Salalah,OM,80.6,Few clouds,17.01,54.1,HAMDAN PLAZA HOTEL
56,Cayenne,GF,82.4,Broken clouds,4.94,-52.33,Hôtel Le Dronmi
57,Port Alfred,ZA,60.01,Overcast clouds,-33.59,26.89,The Halyards Hotel
58,Sao Joao Da Barra,BR,86.0,Scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
59,Bambous Virieux,MU,69.8,Few clouds,-20.34,57.76,Casa Tia Villa
62,Sur,OM,72.66,Clear sky,22.57,59.53,Sur Plaza Hotel
68,Hithadhoo,MV,81.99,Clear sky,-0.6,73.08,Scoop Guest House
69,Kirakira,SB,77.7,Overcast clouds,-10.46,161.92,Freshwind
72,Las Lomas,PE,88.25,Scattered clouds,-4.66,-80.24,Hospedaje Sol Y Luna
73,Churu,IN,70.27,Clear sky,28.3,74.97,Malji Ka Kamra
74,Hilo,US,81.0,Clear sky,19.71,-155.08,Hilo Seaside Hotel
79,Namibe,AO,74.48,Broken clouds,-15.19,12.15,Chik-Chik Namibe
83,Bilma,NE,79.21,Clear sky,18.69,12.92,Expeditions Ténére voyages
87,Itaituba,BR,86.0,Scattered clouds,-4.26,-55.99,Hotel Campos
88,Sun Valley,US,62.01,Clear sky,39.6,-119.78,Panther Valley RV Park
91,Alyangula,AU,73.4,Clear sky,-13.85,136.42,Groote Eylandt Lodge
92,Hirara,JP,70.47,Clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
97,Sokoto,NG,80.51,Clear sky,13.06,5.24,RG Palace
100,Trairi,BR,79.21,Overcast clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
103,Georgetown,GY,86.0,Scattered clouds,6.8,-58.16,Kanhai's Center
105,Makasar,ID,81.0,Few clouds,-6.28,106.88,Hotel Santika Taman Mini Indonesia Indah
107,Puerto Ayora,EC,80.6,Broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
109,Adrar,DZ,69.8,Clear sky,27.87,-0.29,s.e.t.setif entenne d'adrar
112,Waingapu,ID,81.43,Clear sky,-9.65,120.26,Pondok Wisata Elim
118,Sim,BR,76.3,Scattered clouds,-12.25,-38.93,Hotel Paraiso
120,Cockburn Town,TC,84.2,Scattered clouds,21.46,-71.14,Osprey Beach Hotel
124,Reconquista,AR,83.71,Few clouds,-29.14,-59.64,Grand Hotel
128,Bredasdorp,ZA,64.0,Overcast clouds,-34.53,20.04,Bredasdorp Country Manor
129,Byron Bay,AU,70.0,Broken clouds,-28.65,153.62,Backpackers Inn on the Beach
130,Cidreira,BR,71.17,Clear sky,-30.17,-50.22,Pond Country Club
134,Dingle,PH,72.75,Broken clouds,11.0,122.67,Camp Pasica
135,Campana,AR,78.01,Few clouds,-34.16,-58.96,Hotel Morada Suites
138,Kyabe,TD,78.37,Clear sky,9.45,18.94,
139,Labuhan,ID,71.98,Clear sky,-2.54,115.51,Pondok Indah Gula Habang
140,Touros,BR,82.4,Few clouds,-5.2,-35.46,INN NEW HORIZON
141,Kavaratti,IN,81.14,Broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
142,East London,ZA,64.4,Scattered clouds,-33.02,27.91,Tu Casa
146,Aswan,EG,75.2,Few clouds,24.09,32.9,Nuba Nile
149,Phonhong,LA,66.56,Overcast clouds,18.5,102.42,Napakuang Resort
154,Luderitz,,60.8,Clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
158,Airai,TL,67.73,Clear sky,-8.93,125.41,Juvinal Martin
159,Miri,NG,77.99,Broken clouds,10.31,9.75,Focus Guest Inn
160,Labuan,BN,75.2,Light rain,5.28,115.24,Tiara Labuan Hotel
163,Lumbac,PH,68.5,Broken clouds,7.73,124.25,
166,Ribeira Grande,PT,66.2,Few clouds,38.52,-28.7,Quinta da Meia Eira
170,Cap Malheureux,MU,69.8,Few clouds,-19.98,57.61,Pereybere Hotel & Spa
177,Sibolga,ID,71.35,Overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
179,Necochea,AR,69.01,Overcast clouds,-38.55,-58.74,Hotel El Quijote
180,Mahebourg,MU,69.8,Few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
181,Coquimbo,CL,62.6,Broken clouds,-29.95,-71.34,Hotel San Juan
183,Pak Phanang,TH,75.83,Overcast clouds,8.35,100.2,Green Park Inn Hotel
184,Ugoofaaru,MV,82.04,Overcast clouds,5.67,73.0,Ungoofaaru Inn
186,Marzuq,YE,67.12,Clear sky,14.4,46.47,
188,Kifri,IQ,69.53,Clear sky,34.69,44.96,
189,Kampot,KH,77.0,Scattered clouds,10.62,104.18,Naga House
191,Rocha,UY,61.14,Scattered clouds,-34.48,-54.34,Beleza Pura B&B
193,Buala,SB,81.23,Overcast clouds,-8.15,159.59,Maringe Lagoon Lodge
194,Akodia,IN,68.67,Clear sky,23.37,76.56,Damodar Mangalik Bhawan
195,Samarai,PG,78.71,Overcast clouds,-10.62,150.67,Nuli Sapi
198,Najran,SA,69.8,Clear sky,17.54,44.22,فندق حياة نجران
