City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2019-11-08 08:18:55,22.08,-159.32,71.6,83,1,8.05
1,Georgetown,GY,2019-11-08 08:21:19,6.8,-58.16,75.2,100,20,4.7
2,Bethel,US,2019-11-08 08:23:08,60.79,-161.76,30.2,100,90,9.17
3,Hermanus,ZA,2019-11-08 08:23:08,-34.42,19.24,63.54,75,3,19.01
4,Carnarvon,ZA,2019-11-08 08:23:09,-30.97,22.13,69.8,15,1,10.07
5,Rikitea,PF,2019-11-08 08:23:09,-23.12,-134.97,74.14,82,67,7.52
6,Busselton,AU,2019-11-08 08:23:09,-33.64,115.35,75.69,49,0,7.52
7,Cape Town,ZA,2019-11-08 08:20:02,-33.93,18.42,69.8,43,0,5.82
8,Faanui,PF,2019-11-08 08:23:10,-16.48,-151.75,80.98,80,18,18.99
9,Saskylakh,RU,2019-11-08 08:23:10,71.97,114.09,-25.1,98,10,6.85
10,Pangnirtung,CA,2019-11-08 08:23:10,66.15,-65.72,15.21,62,79,1.92
11,New Norfolk,AU,2019-11-08 08:23:10,-42.78,147.06,48.2,57,20,9.17
12,Saint-Philippe,CA,2019-11-08 08:23:10,45.36,-73.48,28.4,73,90,8.05
13,Kostomuksha,RU,2019-11-08 08:23:11,64.59,30.6,18.99,92,100,2.64
14,Sao Joao Da Barra,BR,2019-11-08 08:23:11,-21.64,-41.05,74.59,90,86,4.34
15,Samarai,PG,2019-11-08 08:23:11,-10.62,150.67,78.62,86,100,5.57
16,Airai,TL,2019-11-08 08:23:11,-8.93,125.41,73.27,73,8,5.86
17,Muhos,FI,2019-11-08 08:23:12,64.81,26.0,15.8,100,90,2.24
18,Ushuaia,AR,2019-11-08 08:23:12,-54.81,-68.31,35.6,80,75,13.87
19,Butaritari,KI,2019-11-08 08:23:12,3.07,172.79,84.99,65,66,5.32
20,Lugo,ES,2019-11-08 08:21:24,43.01,-7.56,43.52,95,75,3.89
21,Punta Arenas,CL,2019-11-08 08:23:12,-53.16,-70.91,37.4,86,75,14.99
22,Port Alfred,ZA,2019-11-08 08:23:13,-33.59,26.89,68.79,61,40,14.52
23,Price,US,2019-11-08 08:23:13,39.6,-110.81,33.8,47,1,8.05
24,Mokhsogollokh,RU,2019-11-08 08:23:13,61.4,128.95,-9.01,94,43,3.78
25,Mataura,NZ,2019-11-08 08:23:14,-46.19,168.86,51.35,55,100,2.46
26,Cascavel,BR,2019-11-08 08:23:14,-24.96,-53.44,65.98,95,100,3.29
27,Severo-Kurilsk,RU,2019-11-08 08:23:14,50.68,156.12,31.01,93,91,30.53
28,Aquiraz,BR,2019-11-08 08:23:14,-3.9,-38.39,78.8,74,40,9.17
29,Qaanaaq,GL,2019-11-08 08:23:14,77.48,-69.36,-3.81,62,0,7.29
30,Severobaykalsk,RU,2019-11-08 08:23:15,55.65,109.32,38.28,64,45,17.36
31,Oistins,BB,2019-11-08 08:23:15,13.07,-59.53,82.4,78,75,13.87
32,Belaya Gora,RU,2019-11-08 08:23:15,68.54,146.19,-10.14,100,77,1.21
33,Vila Do Maio,CV,2019-11-08 08:23:15,15.13,-23.22,75.2,69,20,12.75
34,Chokurdakh,RU,2019-11-08 08:23:16,70.62,147.9,-7.37,98,90,5.35
35,Hobart,AU,2019-11-08 08:20:12,-42.88,147.33,48.2,57,20,9.17
36,Kruisfontein,ZA,2019-11-08 08:23:16,-34.0,24.73,63.46,71,91,11.12
37,Tigre,AR,2019-11-08 08:23:17,-34.42,-58.58,60.8,62,0,11.41
38,Jiexiu,CN,2019-11-08 08:23:17,37.02,111.92,53.42,51,0,2.62
39,Ribeira Grande,PT,2019-11-08 08:23:17,38.52,-28.7,60.8,67,40,4.7
40,Lincoln,GB,2019-11-08 08:23:17,53.23,-0.54,48.2,87,75,11.41
41,Avera,US,2019-11-08 08:23:18,33.19,-82.53,60.8,100,90,3.36
42,Zimovniki,RU,2019-11-08 08:23:18,47.15,42.46,64.74,44,68,13.56
43,Lahij,YE,2019-11-08 08:23:18,13.06,44.88,91.78,32,0,13.87
44,Bereda,ES,2019-11-08 08:23:18,43.27,-7.54,51.8,76,40,12.75
45,Lebu,ET,2019-11-08 08:23:19,8.96,38.73,69.31,44,30,4.52
46,Ancud,CL,2019-11-08 08:23:19,-41.87,-73.83,41.86,77,100,1.3
47,Barrow,AR,2019-11-08 08:23:19,-38.31,-60.23,40.28,77,33,8.39
48,Provideniya,RU,2019-11-08 08:23:19,64.42,-173.23,20.8,77,0,14.41
49,Sawakin,SD,2019-11-08 08:23:19,19.1,37.33,86.65,69,0,8.39
50,Maceio,BR,2019-11-08 08:23:16,-9.67,-35.74,69.8,94,75,3.36
51,Penzance,GB,2019-11-08 08:23:20,50.12,-5.53,51.8,81,75,23.04
52,Udachnyy,RU,2019-11-08 08:23:20,66.42,112.4,-11.21,83,90,6.71
53,Khatanga,RU,2019-11-08 08:23:20,71.98,102.47,-9.77,91,94,13.27
54,Flinders,AU,2019-11-08 08:23:21,-34.58,150.85,62.6,39,42,19.46
